geography_type,geography_name,year,animal,count
Region,Nelson,2017,Beef cattle,NA
Region,Nelson,2018,Beef cattle,1107
Region,Nelson,2019,Beef cattle,1566
Region,Nelson-Marlborough,1990,Beef cattle,141746
Region,Nelson-Marlborough,1991,Beef cattle,138452
Region,Nelson-Marlborough,1992,Beef cattle,139932
Region,Nelson-Marlborough,1993,Beef cattle,NA
Region,Nelson-Marlborough,1994,Beef cattle,NA
Region,Nelson-Marlborough,1995,Beef cattle,NA
Region,Nelson-Marlborough,1996,Beef cattle,NA
Region,Nelson-Marlborough,1997,Beef cattle,NA
Region,Nelson-Marlborough,1998,Beef cattle,NA
Region,Nelson-Marlborough,1999,Beef cattle,NA
Region,Nelson-Marlborough,2000,Beef cattle,NA
Region,Nelson-Marlborough,2001,Beef cattle,NA
Region,Nelson-Marlborough,2002,Beef cattle,NA
Region,Nelson-Marlborough,2003,Beef cattle,NA
Region,Nelson-Marlborough,2004,Beef cattle,NA
Region,Nelson-Marlborough,2005,Beef cattle,NA
Region,Nelson-Marlborough,2006,Beef cattle,NA
Region,Nelson-Marlborough,2007,Beef cattle,NA
Region,Nelson-Marlborough,2008,Beef cattle,NA
Region,Nelson-Marlborough,2009,Beef cattle,NA
Region,Nelson-Marlborough,2010,Beef cattle,NA
Region,Nelson-Marlborough,2011,Beef cattle,NA
Region,Nelson-Marlborough,2012,Beef cattle,NA
Region,Nelson-Marlborough,2013,Beef cattle,NA
Region,Nelson-Marlborough,2014,Beef cattle,NA
Region,Nelson-Marlborough,2015,Beef cattle,NA
Region,Nelson-Marlborough,2016,Beef cattle,NA
Region,Nelson-Marlborough,2017,Beef cattle,NA
Region,Nelson-Marlborough,2018,Beef cattle,NA
Region,Nelson-Marlborough,2019,Beef cattle,NA
Region,Northland,1990,Beef cattle,591815
Region,Northland,1991,Beef cattle,609552
Region,Northland,1992,Beef cattle,587335
Region,Northland,1993,Beef cattle,582568
Region,Northland,1994,Beef cattle,574072
Region,Northland,1995,Beef cattle,588005
Region,Northland,1996,Beef cattle,544411
